"Metabolite","Temp.","Std.error.Temp.","K","Std.error.K","Kd","Std.error.Kd","n","Std.error.n","dG","Std.error.dG","dH","Std.error.dH","dS","Std.error.dS","Saturation","Std.error.Saturation"
"6-P Gluconic acid",25.01,0,35.66,0.49,28.0426247896803,0.385330514496449,1,0,-2.12,0.01,1.13,0.01,0.13,0,36.21,0.31
"6-P Gluconic acid",31.02,0.01,74.89,3.97,13.3529176124983,0.707852622801687,1,0,-2.61,0.03,0.39,0.01,0.1,0,53.92,1.28
"6-P Gluconic acid",37.02,0.01,69.86,0.87,14.3143429716576,0.178263360797912,1,0,-2.62,0.01,0.66,0,0.09,0,50.2,0.29
"6-P Gluconic acid",43.02,0.01,129.94,1.56,7.69585962752039,0.0923929584341374,1,0,-3.06,0.01,0.37,0,0.08,0,64.27,0.26
"6-P Gluconic acid",43.03,0.01,156.72,2.8,6.38080653394589,0.11400113766621,1,0,-3.18,0.01,0.33,0,0.08,0,68.19,0.36
"6-P Gluconic acid",49.02,0.01,86.36,0.73,11.5794349235757,0.0978808185990074,1,0,-2.85,0.01,0.7,0,0.07,0,55.12,0.19
"ATP",25.07,0,3938.21,28.44,0.25392246731383,0.00183371505592778,1,0,-4.91,0,1.89,0,0.27,0,89.81,0.07
"ATP",31.03,0.01,4341.59,36.01,0.230330362839421,0.00191040525840707,1,0,-5.06,0.01,1.9,0.01,0.22,0,89.78,0.08
"ATP",37.03,0.01,3624.68,193.93,0.275886423077348,0.0147606558447615,1,0,-5.05,0.03,1.83,0.04,0.19,0,89.7,0.49
"ATP",43.02,0.01,7040.59,333.19,0.142033551165456,0.00672161834630597,1,0,-5.57,0.03,1.3,0.02,0.16,0,89.39,0.44
"ATP",49.02,0.01,6093.08,98.05,0.164120608953107,0.00264103305846176,1,0,-5.58,0.01,1.48,0.01,0.14,0,89.87,0.14
"dTTP",25.03,0.01,4975.23,51.08,0.200995732860591,0.00206359545880673,1,0,-5.04,0.01,2.17,0.01,0.29,0,89.89,0.09
"dTTP",31.02,0.01,5587.21,73.88,0.178980206578954,0.0023666655919597,1,0,-5.22,0.01,2.21,0.01,0.24,0,89.59,0.12
"dTTP",37.02,0.01,6153.54,103.35,0.162508084777218,0.0027293575018161,1,0,-5.38,0.01,2.2,0.01,0.2,0,89.96,0.15
"dTTP",43.04,0.01,8651.12,202.92,0.115591969594688,0.00271131627698542,1,0,-5.7,0.01,1.49,0.01,0.17,0,89.8,0.21
"dTTP",49.02,0.01,5399.99,47.21,0.185185528121348,0.00161900462456576,1,0,-5.5,0.01,2.49,0.01,0.16,0,89.76,0.08
"Fructose 1,6-BP",25.01,0,74.52,1.09,13.419216317767,0.196282149575498,1,0,-2.55,0.01,0.61,0,0.13,0,53.8,0.36
"Fructose 1,6-BP",31.02,0,78.46,0.99,12.745347947999,0.160819455372406,1,0,-2.64,0.01,0.63,0,0.11,0,55.04,0.31
"Fructose 1,6-BP",37.03,0.01,172.08,4.35,5.81125058112506,0.146902254927324,1,0,-3.17,0.02,0.41,0,0.1,0,70.06,0.5
"Fructose 1,6-BP",43.02,0.01,470.02,33.11,2.12756903961534,0.149874071106897,1,0,-3.87,0.04,0.24,0,0.1,0,85.88,0.82
"Fructose 1,6-BP",43.02,0.01,179.21,5.07,5.5800457563752,0.157864136961231,1,0,-3.26,0.02,0.48,0.01,0.09,0,70.85,0.55
"Fructose 1,6-BP",49.02,0.01,188.05,4.15,5.31773464504121,0.117354952283547,1,0,-3.35,0.01,0.49,0,0.08,0,71.78,0.42
"Glucose 6-P",25.02,0.01,50.3,0.64,19.8807157057654,0.252955428463019,1,0,-2.32,0.01,0.48,0,0.11,0,42.59,0.29
"Glucose 6-P",31.02,0,55.49,0.92,18.0212650928095,0.29878471590169,1,0,-2.43,0.01,0.21,0,0.08,0,44.84,0.38
"Glucose 6-P",37.02,0.01,58.95,0.73,16.9635284139101,0.210065746262161,1,0,-2.51,0.01,0.55,0,0.08,0,46.25,0.29
"Glucose 6-P",43.02,0.01,110.9,2.59,9.01713255184851,0.2105894797952,1,0,-2.96,0.01,0.3,0,0.08,0,60.8,0.52
"Glucose 6-P",43.02,0.01,74.93,2.25,13.3457894034432,0.400747713302379,1,0,-2.71,0.02,0.57,0.01,0.08,0,51.83,0.7
"Glucose 6-P",49.02,0.01,76.45,1.07,13.080444735121,0.183074896881353,1,0,-2.78,0.01,0.56,0,0.07,0,52.3,0.33
"GTP",25.19,0,4216.35,136.99,0.237171961530708,0.00770576138368296,1,0,-4.95,0.02,1.42,0.02,0.25,0,89.86,0.29
"GTP",31.02,0,4397.94,183.94,0.227379182071606,0.00950993573133132,1,0,-5.07,0.03,1.48,0.02,0.21,0,89.9,0.38
"GTP",37.02,0.01,5011.68,210.39,0.19953388883568,0.0083764196581064,1,0,-5.25,0.03,1.43,0.02,0.18,0,89.95,0.38
"GTP",43.02,0.01,4873.61,269.23,0.205186709646443,0.0113350099491161,1,0,-5.34,0.03,1.43,0.03,0.16,0,89.7,0.51
"GTP",49.04,0.01,6066.64,301.01,0.164835889388525,0.0081787037082866,1,0,-5.58,0.03,1.24,0.02,0.14,0,89.83,0.45
"UTP",25.03,0,3605.2,35.98,0.277377121934983,0.00276823167847018,1,0,-4.85,0.01,1.76,0.01,0.26,0,89.36,0.09
"UTP",31.03,0,4097.28,56.57,0.244064354889097,0.00336972834565278,1,0,-5.03,0.01,1.75,0.01,0.22,0,89.92,0.12
"UTP",37.03,0.01,4205.33,72.72,0.237793466862291,0.00411200569520723,1,0,-5.14,0.01,1.69,0.01,0.18,0,89.84,0.16
"UTP",43.03,0.01,3773.87,107.41,0.264979980762453,0.00754172765190511,1,0,-5.17,0.02,1.51,0.02,0.16,0,89.78,0.26
"UTP",49.02,0.01,10865.15,479.96,0.092037385586025,0.00406568373063129,1,0,-5.95,0.03,0.99,0.01,0.14,0,88.97,0.42
