"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R","Kd.opt","Helix","Condition"
"1 VH plot",-56.2516056866687,0.342220715550117,-136.747971299748,1.04051182262767,-13.8392223880517,0.0195541777877002,0.377857757877751,1.34700434343878,0.910154884898507,"F","Monovalent"
"2 Global fit",-56.2359307907709,18.3249791329329,-136.700337678207,55.6946460610592,-13.8383210598748,1.05375924199755,0.377857757877751,1.34700434343878,0.910154884898507,"F","Monovalent"
"1 VH plot",-53.397613755822,0.967360045311475,-133.387136672241,2.99511976001805,-12.0275933169264,0.038773095609663,0.6770194100651,0.884622603900394,4.87618736438174,"G","Monovalent"
"2 Global fit",-52.2795411025358,13.9145382744998,-129.916762186994,43.1621819594079,-11.9858573102396,0.532303075845697,0.6770194100651,0.884622603900394,4.87618736438174,"G","Monovalent"
"1 VH plot",-53.4550767533971,0.368862414375513,-137.653213827691,1.17653427224945,-10.7619324847389,0.00462584484336733,0.489992101484125,0.859357485429266,1.81291062553977,"H","Monovalent"
"2 Global fit",-53.165932084608,8.48811797072379,-136.727545146398,27.1081205717599,-10.7598839574527,0.0957283990536954,0.489992101484125,0.859357485429266,1.81291062553977,"H","Monovalent"
"1 VH plot",-71.1290388099418,0.791322239933805,-179.025003625603,2.35854738821995,-15.6044339354611,0.0599332166302466,0.421478168748298,1.05217856009165,3.40530726153007,"I","Monovalent"
"2 Global fit",-71.3260617115164,15.646090596754,-179.61007019004,46.6184163198093,-15.6199984420755,1.18950799101443,0.421478168748298,1.05217856009165,3.40530726153007,"I","Monovalent"
"1 VH plot",-63.2462892057676,0.938714133705965,-168.938247233092,2.96735178051931,-10.8500918264242,0.0196093288362565,0.633938420712847,0.77976170572917,6.16554313533042,"J","Monovalent"
"2 Global fit",-62.2759832826772,7.27090599582043,-165.854271381326,23.020520229903,-10.8362810137591,0.139743651266204,0.633938420712847,0.77976170572917,6.16554313533042,"J","Monovalent"
"1 VH plot",-52.1750934209181,0.370566157365837,-124.956159843824,1.13490270907338,-13.419940445356,0.0187319432175509,0.328328152508094,2.18931564410912,4.55928752790553,"F","NTPCM"
"2 Global fit",-52.3916867575701,7.582206381483,-125.616886007424,23.1866948200369,-13.4316095623675,0.393652058418678,0.328328152508094,2.18931564410912,4.55928752790553,"F","NTPCM"
"1 VH plot",-42.925193293715,0.460341435861597,-101.312265229617,1.42321662236979,-11.5031942327492,0.0190906351340772,1.26341810186027,1.03119431771842,7.17989937625604,"G","NTPCM"
"2 Global fit",-42.3850535649831,20.4226208463589,-99.6377794789421,63.3356243941522,-11.4823962595893,0.7847786511787,1.26341810186027,1.03119431771842,7.17989937625604,"G","NTPCM"
"1 VH plot",-45.2057885194012,0.186269356575632,-113.000046293261,0.596831420356995,-10.1588241615461,0.00168155095937173,0.477274547782565,0.986030546963521,10.5554675653432,"H","NTPCM"
"2 Global fit",-45.081557596475,7.4521663840954,-112.600507262961,23.9199684747745,-10.1585102688676,0.0564032929064478,0.477274547782565,0.986030546963521,10.5554675653432,"H","NTPCM"
"1 VH plot",-70.3729784025741,0.649248452908275,-177.630660336178,1.94467507221593,-15.2808290993085,0.0461925731939377,0.352744606603656,1.16575841422765,4.44568440783682,"I","NTPCM"
"2 Global fit",-70.4878413778094,15.1055086003441,-177.973230035671,45.2276415931584,-15.2894440822462,1.08002163117874,0.352744606603656,1.16575841422765,4.44568440783682,"I","NTPCM"
"1 VH plot",-59.0241130640721,1.16064397142998,-157.110576509437,3.70761641289388,-10.2962677596701,0.0131112869958598,0.447704924898656,0.858618162449026,10.4222861785075,"J","NTPCM"
"2 Global fit",-58.518204216625,7.61204291073086,-155.484823922506,24.3309750674569,-10.2945860770599,0.0808871234077019,0.447704924898656,0.858618162449026,10.4222861785075,"J","NTPCM"
"1 VH plot",-42.9914692720393,1.15706043700077,-101.443557001783,3.57969667627755,-11.5287500679362,0.0468541420606258,0.664917160188616,0.953786331333073,15.3753492942663,"G","WMCM"
"2 Global fit",-42.8028023053781,107.5091485971,-100.860055648727,332.698993417901,-11.5210560459255,4.32590117746949,0.664917160188616,0.953786331333073,15.3753492942663,"G","WMCM"
"1 VH plot",-65.5067248075787,2.41000584944981,-162.093902049074,7.18825869486113,-15.2333010870582,0.181119159236168,0.485398889222317,1.05444831709598,8.1583685434076,"I","WMCM"
"2 Global fit",-65.3534527777504,12.2156068801891,-161.620968439988,36.4263498668285,-15.2267094160882,0.920503665185982,0.485398889222317,1.05444831709598,8.1583685434076,"I","WMCM"
"1 VH plot",-66.9775902563947,1.06401424648031,-180.964033129835,3.3633230019291,-10.8515953811764,0.0216946756583089,0.548263755199655,0.983519997110464,10.3425801791376,"J","WMCM"
"2 Global fit",-66.0784823087565,10.5027207640896,-178.113403681983,33.2399135120082,-10.8366101567896,0.200939625673061,0.548263755199655,0.983519997110464,10.3425801791376,"J","WMCM"
"1 VH plot",-56.7768939655983,1.53855960529112,-146.3551371969,4.80236884316888,-11.3848481639798,0.0499242160347414,0.92560260394473,0.897869842222186,10.7038092463228,"G","Ecoli80"
"2 Global fit",-54.0250991049158,13.1306904395694,-137.741037022493,41.0947863879119,-11.3047164723897,0.391186140462796,0.92560260394473,0.897869842222186,10.7038092463228,"G","Ecoli80"
"1 VH plot",-69.6514749449775,0.848180998898863,-176.232458316607,2.54420543562961,-14.9929779980818,0.0593079897059979,0.482175799884589,1.0492960092579,6.23643141190878,"I","Ecoli80"
"2 Global fit",-69.6814091482733,11.4131602713097,-176.316907419785,34.2240770361068,-14.9967203120269,0.801139365446993,0.482175799884589,1.0492960092579,6.23643141190878,"I","Ecoli80"
"1 VH plot",-61.2563951332128,1.06854328993872,-163.932356115618,3.41878791164569,-10.4127748839539,0.0127469834853428,0.459500265662998,0.969366096520701,7.02950056258457,"J","Ecoli80"
"2 Global fit",-60.9498299110929,4.09135574200249,-162.92425738963,13.0934673914854,-10.418871481699,0.0455461449655264,0.459500265662998,0.969366096520701,7.02950056258457,"J","Ecoli80"
"1 VH plot",-61.3900842143199,0.760240042051431,-152.072160179322,2.29346442344975,-14.2249037347031,0.0491913616490402,0.820801867954714,1.02479491656998,3.72591498608729,"F","WMCM"
"2 Global fit",-61.118775522012,14.0901724641023,-151.247379930852,42.5325682174166,-14.2094006364584,0.903229293518276,0.820801867954714,1.02479491656998,3.72591498608729,"F","WMCM"
"1 VH plot",-43.1587184753432,1.50119053241578,-107.043433934627,4.78824843503135,-9.95919744051864,0.0188235797036852,0.641738426225231,0.805503851499782,30.4186797736859,"H","WMCM"
"2 Global fit",-40.458583167316,9.26538703337157,-98.4069195073457,29.6451568321207,-9.93767708211276,0.0889934420872098,0.641738426225231,0.805503851499782,30.4186797736859,"H","WMCM"
"1 VH plot",-43.7810115003299,0.654017153352374,-100.312753410945,2.0030046569862,-12.6690110299252,0.0330601665527736,0.406205588790977,1.46998772034618,13.6089804643684,"F","Ecoli80"
"2 Global fit",-43.7800668930743,8.16052228671934,-100.30606608936,24.9853912167183,-12.6701404954593,0.414480180738928,0.406205588790977,1.46998772034618,13.6089804643684,"F","Ecoli80"
"1 VH plot",-41.1396168886408,0.258462375356396,-99.9128003449629,0.828767774354444,-10.1516618616505,0.00212063607415368,0.67486056857359,1.01322352931365,12.0840128539821,"H","Ecoli80"
"2 Global fit",-41.0497091925629,11.6482970486417,-99.6238216477618,37.4201710017918,-10.1513809085096,0.078729789631811,0.67486056857359,1.01322352931365,12.0840128539821,"H","Ecoli80"
