Metabolite,L.total,M.free.mM.original,Kd.original,MCM.original,M.total,Kd.IS.pH.corr
Glutamate,96,2,15.1,11.3,13.3,31.77
Glutamate,96,0.5,15.1,3.1,3.6,31.77
Aspartate,4.2,2,3.2,1.7,3.7,135.37
Aspartate,4.2,0.5,3.2,0.6,1.1,135.37
Glutamine,3.8,2,12.6,0.6,2.6,28154.07
Glutamine,3.8,0.5,12.6,0.2,0.7,28154.07
Alanine,2.6,2,11,0.4,2.4,2606.36
Alanine,2.6,0.5,11,0.2,0.7,2606.36
ATP,9.6,2,0.079,9.2,11.2,0.1
ATP,9.6,0.5,0.079,8.3,8.8,0.1
ADP,0.56,2,0.56,0.42,2.42,1
ADP,0.56,0.5,0.56,0.24,0.74,1
AMP,0.28,2,0.28,0.04,2.04,22
AMP,0.28,0.5,0.28,0.01,0.51,22
